customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
103,"Atelier graphique",Schmitt,"Carine ",40.32.2555,"54, rue Royale",,Nantes,,44000,France,1370,21000
112,"Signal Gift Stores",King,Jean,7025551838,"8489 Strong St.",,"Las Vegas",NV,83030,USA,1166,71800
114,"Australian Collectors, Co.",Ferguson,Peter,"03 9520 4555","636 St Kilda Road","Level 3",Melbourne,Victoria,3004,Australia,1611,117300
119,"La Rochelle Gifts",Labrune,"Janine ",40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,1370,118200
121,"Baane Mini Imports",Bergulfsen,"Jonas ","07-98 9555","Erling Skakkes gate 78",,Stavern,,4110,Norway,1504,81700
124,"Mini Gifts Distributors Ltd.",Nelson,Susan,4155551450,"5677 Strong St.",,"San Rafael",CA,97562,USA,1165,210500
128,"Blauer See Auto, Co.",Keitel,Roland,"+49 69 66 90 2555","Lyonerstr. 34",,Frankfurt,,60528,Germany,1504,59700
129,"Mini Wheels Co.",Murphy,Julie,6505555787,"5557 North Pendale Street",,"San Francisco",CA,94217,USA,1165,64600
131,"Land of Toys Inc.",Lee,Kwai,2125557818,"897 Long Airport Avenue",,NYC,NY,10022,USA,1323,114900
141,"Euro+ Shopping Channel",Freyre,"Diego ","(91) 555 94 44","C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370,227600
145,"Danish Wholesale Imports",Petersen,"Jytte ","31 12 3555","VinbÃƒÂ¦ltet 34",,Kobenhavn,,1734,Denmark,1401,83400
146,"Saveley & Henriot, Co.",Saveley,"Mary ",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,1337,123900
148,"Dragon Souveniers, Ltd.",Natividad,Eric,"+65 221 7555","Bronz Sok.","Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,1621,103800
151,"Muscle Machine Inc",Young,Jeff,2125557413,"4092 Furth Circle","Suite 400",NYC,NY,10022,USA,1286,138500
157,"Diecast Classics Inc.",Leong,Kelvin,2155551555,"7586 Pompton St.",,Allentown,PA,70267,USA,1216,100600
161,"Technics Stores Inc.",Hashimoto,Juri,6505556809,"9408 Furth Circle",,Burlingame,CA,94217,USA,1165,84600
166,"Handji Gifts& Co",Victorino,Wendy,"+65 224 1555","106 Linden Road Sandown","2nd Floor",Singapore,,69045,Singapore,1612,97900
168,"American Souvenirs Inc",Franco,Keith,2035557845,"149 Spinnaker Dr.","Suite 101","New Haven",CT,97823,USA,1286,0
171,"Daedalus Designs Imports",RancÃƒÂ©,"Martine ",20.16.1555,"184, chaussÃƒÂ©e de Tournai",,Lille,,59000,France,1370,82900
172,"La Corne D'abondance, Co.",Bertrand,Marie,"(1) 42.34.2555","265, boulevard Charonne",,Paris,,75012,France,1337,84300
173,"Cambridge Collectables Co.",Tseng,Jerry,6175555555,"4658 Baden Av.",,Cambridge,MA,51247,USA,1188,43400
175,"Gift Depot Inc.",King,Julie,2035552570,"25593 South Bay Ln.",,Bridgewater,CT,97562,USA,1323,84300
181,"Vitachrome Inc.",Frick,Michael,2125551500,"2678 Kingston Rd.","Suite 101",NYC,NY,10022,USA,1286,76400
186,"Toys of Finland, Co.",Karttunen,Matti,"90-224 8555","Keskuskatu 45",,Helsinki,,21240,Finland,1501,96500
189,"Clover Collections, Co.",Cassidy,Dean,"+353 1862 1555","25 Maiden Lane","Floor No. 4",Dublin,,2,Ireland,1504,69400
198,"Auto-Moto Classics Inc.",Taylor,Leslie,6175558428,"16780 Pompton St.",,Brickhaven,MA,58339,USA,1216,23000
204,"Online Mini Collectables",Barajas,Miguel,6175557555,"7635 Spinnaker Dr.",,Brickhaven,MA,58339,USA,1188,68700
205,Toys4GrownUps.com,Young,Julie,6265557265,"78934 Hillside Dr.",,Pasadena,CA,90003,USA,1166,90700
209,"Mini Caravy",Citeaux,"FrÃƒÂ©dÃƒÂ©rique ",88.60.1555,"24, place KlÃƒÂ©ber",,Strasbourg,,67000,France,1370,53800
216,"Enaco Distributors",Saavedra,"Eduardo ","(93) 203 4555","Rambla de CataluÃƒÂ±a, 23",,Barcelona,,8022,Spain,1702,60300
219,"Boards & Toys Co.",Young,Mary,3105552373,"4097 Douglas Av.",,Glendale,CA,92561,USA,1166,11000
227,"Heintze Collectables",Ibsen,Palle,"86 21 3555","Smagsloget 45",,Ãƒâ€¦rhus,,8200,Denmark,1401,120800
239,"Collectable Mini Designs Co.",Thompson,Valarie,7605558146,"361 Furth Circle",,"San Diego",CA,91217,USA,1166,105000
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",,Toulouse,,31000,France,1370,61100
249,"Amica Models & Co.",Accorti,"Paolo ",011-4988555,"Via Monte Bianco 34",,Torino,,10100,Italy,1401,113000
250,"Lyon Souveniers","Da Silva",Daniel,"+33 1 46 62 7555","27 rue du Colonel Pierre Avia",,Paris,,75508,France,1337,68100
256,"Auto AssociÃƒÂ©s & Cie.",Tonini,"Daniel ",30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,1370,77900
259,"Toms SpezialitÃƒÂ¤ten, Ltd",Pfalzheim,"Henriette ",0221-5554327,"Mehrheimerstr. 369",,KÃƒÂ¶ln,,50739,Germany,1504,120400
276,"Anna's Decorations, Ltd",O'Hara,Anna,"02 9936 8555","201 Miller Street","Level 15","North Sydney",NSW,2060,Australia,1611,107800
278,"Rovelli Gifts",Rovelli,"Giovanni ",035-640555,"Via Ludovico il Moro 22",,Bergamo,,24100,Italy,1401,119600
282,"Souveniers And Things Co.",Huxley,Adrian,"+61 2 9495 8555","Monitor Money Building","815 Pacific Hwy",Chatswood,NSW,2067,Australia,1611,93300
286,"Marta's Replicas Co.",Hernandez,Marta,6175558555,"39323 Spinnaker Dr.",,Cambridge,MA,51247,USA,1216,123700
298,"Vida Sport, Ltd",Holz,Mihael,0897-034555,"Grenzacherweg 237",,GenÃƒÂ¨ve,,1203,Switzerland,1702,141300
311,"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,"Torikatu 38",,Oulu,,90110,Finland,1501,90500
319,"Mini Classics",Frick,Steve,9145554562,"3758 North Pendale Street",,"White Plains",NY,24067,USA,1323,102700
320,"Mini Creations Ltd.",Huang,Wing,5085559555,"4575 Hillside Dr.",,"New Bedford",MA,50553,USA,1188,94500
321,"Corporate Gift Ideas Co.",Brown,Julie,6505551386,"7734 Strong St.",,"San Francisco",CA,94217,USA,1165,105000
328,"Tekni Collectables Inc.",Brown,William,2015559350,"7476 Moss Rd.",,Newark,NJ,94019,USA,1323,43000
333,"Australian Gift Network, Co",Calaghan,Ben,61-7-3844-6555,"31 Duncan St. West End",,"South Brisbane",Queensland,4101,Australia,1611,51600
339,"Classic Gift Ideas, Inc",Cervantes,Francisca,2155554695,"782 First Street",,Philadelphia,PA,71270,USA,1188,81100
344,"CAF Imports",Fernandez,Jesus,"+34 913 728 555","Merchants House","27-30 Merchant's Quay",Madrid,,28023,Spain,1702,59600
347,"Men 'R' US Retailers, Ltd.",Chandler,Brian,2155554369,"6047 Douglas Av.",,"Los Angeles",CA,91003,USA,1166,57700
350,"Marseille Mini Autos",Lebihan,"Laurence ",91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France,1337,65000
353,"Reims Collectables",Henriot,"Paul ",26.47.1555,"59 rue de l'Abbaye",,Reims,,51100,France,1337,81100
362,Gifts4AllAges.com,Yoshido,Juri,6175559555,"8616 Spinnaker Dr.",,Boston,MA,51003,USA,1216,41900
363,"Online Diecast Creations Co.",Young,Dorothy,6035558647,"2304 Long Airport Avenue",,Nashua,NH,62005,USA,1216,114200
376,"Precious Collectables",Urs,Braun,0452-076555,"Hauptstr. 29",,Bern,,3012,Switzerland,1702,0
379,"Collectables For Less Inc.",Nelson,Allen,6175558555,"7825 Douglas Av.",,Brickhaven,MA,58339,USA,1188,70700
382,"Salzburg Collectables",Pipps,"Georg ",6562-9555,"Geislweg 14",,Salzburg,,5020,Austria,1401,71700
386,"L'ordine Souveniers",Moroni,"Maurizio ",0522-556555,"Strada Provinciale 124",,"Reggio Emilia",,42100,Italy,1401,121400
406,"Auto Canal+ Petit",Perrier,Dominique,"(1) 47.55.6555","25, rue Lauriston",,Paris,,75016,France,1337,95000
415,"Bavarian Collectables Imports, Co.",Donnermeyer,Michael," +49 89 61 08 9555","Hansastr. 15",,Munich,,80686,Germany,1504,77000
424,"Classic Legends Inc.",Hernandez,Maria,2125558493,"5905 Pompton St.","Suite 750",NYC,NY,10022,USA,1286,67500
447,"Gift Ideas Corp.",Lewis,Dan,2035554407,"2440 Pompton St.",,Glendale,CT,97561,USA,1323,49700
450,"The Sharp Gifts Warehouse",Frick,Sue,4085553659,"3086 Ingle Ln.",,"San Jose",CA,94217,USA,1165,77600
452,"Mini Auto Werke",Mendel,"Roland ",7675-3555,"Kirchgasse 6",,Graz,,8010,Austria,1401,45300
455,"Super Scale Inc.",Murphy,Leslie,2035559545,"567 North Pendale Street",,"New Haven",CT,97823,USA,1286,95400
456,"Microscale Inc.",Choi,Yu,2125551957,"5290 North Pendale Street","Suite 200",NYC,NY,10022,USA,1286,39800
458,"Corrida Auto Replicas, Ltd",Sommer,"MartÃƒÂ­n ","(91) 555 22 82","C/ Araquil, 67",,Madrid,,28023,Spain,1702,104600
462,FunGiftIdeas.com,Benitez,Violeta,5085552555,"1785 First Street",,"New Bedford",MA,50553,USA,1216,85800
471,"Australian Collectables, Ltd",Clenahan,Sean,61-9-3844-6555,"7 Allen Street",,"Glen Waverly",Victoria,3150,Australia,1611,60300
475,"West Coast Collectables Co.",Thompson,Steve,3105553722,"3675 Furth Circle",,Burbank,CA,94019,USA,1166,55400
484,"Iberia Gift Imports, Corp.",Roel,"JosÃƒÂ© Pedro ","(95) 555 82 82","C/ Romero, 33",,Sevilla,,41101,Spain,1702,65700
486,"Motor Mint Distributors Inc.",Salazar,Rosa,2155559857,"11328 Douglas Av.",,Philadelphia,PA,71270,USA,1323,72600
487,"Signal Collectibles Ltd.",Taylor,Sue,4155554312,"2793 Furth Circle",,Brisbane,CA,94217,USA,1165,60300
495,"Diecast Collectables",Franco,Valarie,6175552555,"6251 Ingle Ln.",,Boston,MA,51003,USA,1188,85100
